,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,component 1,component 2,component 3,K-means PCA,Segment
3062,SF002146700,"SPRINGBOK, SF",-29.667,17.9,1007.0,2023-01-30,0.0,20.8,28.0,15.1,-5.422578299812819,0.4183672030959989,-2.265098415400474,0,Solar
2733,SFM00068538,"DEAAR UA, SF",-30.667,24.017,1287.0,2022-12-16,2.0,22.2,31.2,16.3,-9.010939347903378,1.743212856065353,-0.6030797302369821,0,Solar
4313,SF001506200,"ELLIOT, SF",-31.333,27.85,1463.0,2023-01-14,0.0,24.9,34.0,15.1,-11.809670510857362,-0.8308509310779272,-0.9328816980920414,0,Solar
6918,SF001290070,"CAPE HERMES, SF",-31.633,29.55,47.0,2022-10-26,7.9,20.3,22.6,16.7,-1.4868087940847123,9.195299342222457,-0.9041404328185773,0,Solar
5934,SFM00068588,"DURBAN INTERNATIONAL, SF",-29.97,30.951,10.1,2023-03-17,0.0,25.1,29.7,21.9,-11.652021210173881,3.791942674942338,-6.368199854992379,0,Solar
8816,SF001344780,"CALVINIA, SF",-31.467,19.767,975.0,2023-04-01,0.0,22.1,30.5,12.1,-6.529040930760274,-1.556462537135284,-0.1450578810754308,0,Solar
7889,SF000981900,"CRADOCK, SF",-32.167,25.617,102.0,2022-10-05,0.0,19.6,32.5,8.6,-5.472087610093547,-4.330015982704234,3.554797526661991,0,Solar
9992,SF000104560,"RIVERSDALE, SF",-34.083,21.25,116.0,2022-11-11,0.0,18.2,28.4,10.2,-2.41592620048819,-2.470119320661757,1.3104489140430533,0,Solar
10115,SF000104560,"RIVERSDALE, SF",-34.083,21.25,116.0,2023-03-17,0.0,21.5,28.9,18.7,-8.082532540177356,1.8972756617276023,-3.7723785369705465,0,Solar
11303,SF001130250,"FRASERBURG, SF",-31.917,21.517,1268.0,2022-11-24,0.0,18.1,29.2,8.7,-2.3110490845600435,-3.450043406705839,2.45719795608893,0,Solar
4865,SFM00068461,"BETHLEHEM, SF",-28.248,28.336,1695.0,2023-02-05,0.0,20.6,26.0,12.6,-2.607708805946212,-0.08360376092905664,-2.040669614353759,0,Solar
6140,SF000508870,"WILLOWMORE, SF",-33.283,23.5,842.0,2022-12-28,0.0,22.8,36.8,14.2,-12.74927399538817,-2.6080642397701888,1.7994450702121532,0,Solar
5844,SFM00068588,"DURBAN INTERNATIONAL, SF",-29.97,30.951,10.1,2022-12-15,25.9,23.8,30.2,19.8,-9.827697935179504,23.053560826481178,10.649423165681291,0,Solar
2293,SF002394820,"CEDARA, SF",-29.533,30.283,1071.0,2023-02-19,17.0,20.8,27.9,14.1,-4.408325346375742,13.54689354121651,8.150713086334816,0,Solar
7198,SFM00068242,"MAFIKENG, SF",-25.798,25.548,1274.4,2023-01-10,0.0,26.9,34.8,0.0,-6.255235598403813,-7.634011736156541,5.641742882142896,0,Solar
4544,SF003174470,"UPINGTON AGR., SF",-28.45,21.25,794.0,2022-12-03,0.0,23.1,33.1,13.5,-9.630938494213956,-1.607525042970218,0.10989703718947878,0,Solar
10796,SF003211100,"POSTMASBURG, SF",-28.333,23.067,1321.0,2023-01-13,0.0,28.6,38.1,19.0,-18.34418161293665,0.2777258257339666,-2.211979192069275,0,Solar
